category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	Dice	Dice_time	cbDice	cbDice_time	clDice	clDice_time	ccDice_0	ccDice_0_time	ccDice_1	ccDice_1_time	Betti_error_0	Betti_error_1	Betti_error_time	Betti_matching_0	Betti_matching_1	Betti_matching_time
false_component	Roads	img_0	gt.png	148257.0	0.0	0.0	21040.0	0.0	0.0	8.0	0.0	0.0		0.0	1.0	0.002169132232666	1.0000000137494525	0.2723736763000488	1.0	0.0353109836578369	1.0	0.6041464805603027	1.0	38.56162095069885	0	0	0.0493891239166259	0.0	0.0	123.55380249023438
false_component	Roads	img_0	pred_0.png	148257.0	2054.0	0.0	21040.0	285.0	0.0	8.0	6.0	0.0		2.0	0.9931204951635808	0.0021750926971435	0.993272762085522	0.2437231540679931	0.993272748731264	0.0330142974853515	0.7272727272727273	1.0127441883087158	1.0	40.82547998428345	6	0	0.0454294681549072	6.0	0.0	124.2667543888092
false_component	Roads	img_0	pred_1.png	148257.0	3502.0	0.0	21040.0	504.0	0.0	8.0	11.0	0.0		11.0	0.988327289211242	0.002209186553955	0.988164581909066	0.2426512241363525	0.988164568852151	0.0329871177673339	0.5925925925925926	1.316372632980347	1.0	39.409648418426514	11	0	0.0439558029174804	11.0	0.0	123.7074966430664
false_component	Roads	img_0	pred_2.png	148257.0	3987.0	0.0	21040.0	636.0	0.0	8.0	16.0	0.0		6.0	0.9867321572973136	0.0021283626556396	0.9851109783264992	0.2387809753417968	0.9851109654462028	0.0330185890197753	0.5	1.6122124195098877	1.0	40.55683398246765	16	0	0.0451488494873046	16.0	0.0	123.99261689186096
false_component	Roads	img_0	pred_3.png	148257.0	6176.0	0.0	21040.0	877.0	0.0	8.0	21.0	0.0		13.0	0.9795962866298854	0.0024256706237792	0.9795842479609704	0.2452626228332519	0.9795842353981888	0.0331199169158935	0.4324324324324324	1.9550137519836424	1.0	37.78278732299805	21	0	0.0441863536834716	21.0	0.0	123.48998665809631
false_component	Roads	img_0	pred_4.png	148257.0	6979.0	0.0	21040.0	1062.0	0.0	8.0	26.0	0.0		7.0	0.9770044119633732	0.0021803379058837	0.9753836292163548	0.2441627979278564	0.9753836168930508	0.034020185470581	0.3809523809523809	2.3015170097351074	1.0	37.62298321723938	26	0	0.0436348915100097	26.0	0.0	125.0198369026184
false_component	Roads	img_0	pred_5.png	148257.0	8281.0	0.0	21040.0	1198.0	0.0	8.0	31.0	0.0		14.0	0.9728309191423744	0.002091646194458	0.9723185111559935	0.238718032836914	0.9723184990064236	0.033092975616455	0.3404255319148936	2.519498825073242	1.0	36.81353974342346	31	0	0.043466567993164	31.0	0.0	124.60149574279784
false_component	Roads	img_0	pred_6.png	148257.0	9112.0	0.0	21040.0	1351.0	0.0	8.0	36.0	0.0		9.0	0.970185782623206	0.0021944046020507	0.9688931988505812	0.2474017143249511	0.968893186894154	0.0334584712982177	0.3076923076923077	3.1961092948913574	1.0	44.60796332359314	36	0	0.0470521450042724	36.0	0.0	125.9022855758667
false_component	Roads	img_0	pred_7.png	148257.0	10856.0	0.0	21040.0	1544.0	0.0	8.0	41.0	0.0		10.0	0.96468100335101	0.0023479461669921	0.964606650263808	0.2574844360351562	0.9646066385475884	0.0340993404388427	0.2807017543859649	3.619007110595703	1.0	40.06267976760864	41	0	0.0440716743469238	41.0	0.0	124.73206877708436
false_component	Roads	img_0	pred_8.png	148257.0	11887.0	0.0	21040.0	1697.0	0.0	8.0	46.0	0.0		19.0	0.9614560264071776	0.0022428035736083	0.9612353634255852	0.2392427921295166	0.961235351897115	0.0331010818481445	0.2580645161290322	3.4695489406585693	1.0	36.55478763580322	46	0	0.0436005592346191	46.0	0.0	124.60093855857848
false_component	Roads	img_0	pred_9.png	148257.0	12821.0	0.0	21040.0	1873.0	0.0	8.0	51.0	0.0		20.0	0.9585530250375808	0.0021033287048339	0.9573863103165788	0.2389144897460937	0.9573862990012058	0.0330777168273925	0.2388059701492537	3.8637194633483887	1.0	37.3239426612854	51	0	0.0434741973876953	51.0	0.0	129.9373495578766
false_component	Roads	img_0	pred_10.png	148257.0	13692.0	0.0	21040.0	1982.0	0.0	8.0	55.0	0.0		5.0	0.9558615887507012	0.0021078586578369	0.9550179404663854	0.2420558929443359	0.9550179292814672	0.033174991607666	0.2253521126760563	4.189439535140991	1.0	38.580801248550415	55	0	0.044461965560913	55.0	0.0	124.77952098846436
false_component	Roads	img_0	pred_11.png	148257.0	15857.0	0.0	21040.0	2207.0	0.0	8.0	60.0	0.0		16.0	0.9492366448870092	0.0021302700042724	0.9501659738429068	0.2448387145996093	0.9501659629236572	0.0332643985748291	0.2105263157894736	4.56684422492981	1.0	36.84607291221619	60	0	0.0435924530029296	60.0	0.0	126.15408205986024
false_component	Roads	img_0	pred_12.png	148257.0	17494.0	0.0	21040.0	2389.0	0.0	8.0	65.0	0.0		17.0	0.9442880436167232	0.0020897388458251	0.9462771925648842	0.2378468513488769	0.946277181857024	0.033125877380371	0.1975308641975308	4.657864809036255	1.0	36.321685791015625	65	0	0.0436909198760986	65.0	0.0	125.4034550189972
false_component	Roads	img_0	pred_13.png	148257.0	19100.0	0.0	21040.0	2518.0	0.0	8.0	70.0	0.0		8.0	0.9394830394088982	0.0022437572479248	0.9435400796212882	0.2430648803710937	0.943540069061393	0.0334498882293701	0.1860465116279069	5.288561820983887	1.0	37.10791063308716	70	0	0.0437018871307373	70.0	0.0	125.09039330482484
